b0_iriL_all,b0_mel_all,b0_iriD_all,b0_xanS_all,b0_xanC_all,b1_iriL_all,b1_mel_all,b1_iriD_all,b1_xanS_all,b1_xanC_all,avg_straightness_all,med_straightness_all,med_mel_widths_all,med_xanC_widths_all,med_xanS_widths_all,med_iriL_widths_all,med_idiD_widths_all,mean_mel_space_all,var_mel_space_all,mel_CV_all,mean_xanC_space_all,var_xanC_space_all,mean_xanS_space_all,var_xanS_space_all,mean_melxanC_space_all,var_melxanC_space_all,mean_melxanS_space_all,var_melxanS_space_all,xanSmel_density_all,melxanS_density_all,iriLmel_density_all,dayOfNewStripes,annulus_In_MB
15,12,1,18,1,0,0,5,0,6,-1.65559229806448,-1.65559229806448,NaN,241,NaN,NaN,225.5,298.557642954784,42472.6275915615,69.0281718151741,40.1965230429019,103.324099790331,73.9433632312134,867.583936890408,104.513725634508,88.7259734150537,38.3581422976513,260.684014813347,0,6.07142857142857,0,0,10
9,15,1,12,1,0,0,3,0,3,-3.27868852459017,-3.27868852459017,NaN,249.95,NaN,NaN,238.55,341.279821330491,43408.1577099569,61.0485096828245,39.8651140433895,116.945364680988,70.3361562353784,464.14299435395,97.1918335969188,122.858203172896,37.6708698968689,313.486965796852,0,9,0,0,10
11,15,1,10,1,0,0,3,0,3,-3.70191699047471,-3.70191699047471,NaN,244.75,NaN,NaN,210.45,323.231052116148,46210.0561897883,66.5051339394583,39.579076211411,108.341098690508,69.7773356278225,425.071502942921,102.012885018218,120.443429426787,37.6976110034339,134.154035089367,0,7.04761904761905,0,0,10
12,12,1,15,1,0,0,6,0,7,12.6146894809441,12.6146894809441,NaN,241.65,NaN,NaN,224.5,313.045827984183,63818.3794145767,80.6984077100537,40.281616425897,108.219956649989,69.3371565903418,497.613715250232,106.530928406059,82.4872030016276,34.7017086784349,192.040012525785,0,8.04761904761905,0,0,10
12,17,1,16,1,0,0,7,0,7,18.1799085211029,18.1799085211029,NaN,269.25,NaN,NaN,234.65,261.247607621815,26913.9982361286,62.7966950540551,39.9600433211646,116.732483329335,71.0637309992388,667.833920061618,105.635308989099,85.889250990282,31.1093680581474,100.003391531621,0,8,0,0,10
11,11,1,14,1,0,0,5,0,5,1.65540698010076,1.65540698010076,NaN,253.05,NaN,NaN,230.25,348.081987818754,46335.2672128207,61.8406841392546,40.3999163274738,103.750587846451,72.1525784292672,975.528133657332,103.166294203878,93.8482469688697,37.1984353429687,84.5623476986528,0,7,0,0,10
11,12,1,17,1,0,0,5,0,5,4.62800677421692,4.62800677421692,NaN,260,NaN,NaN,226.2,258.162002457136,26632.7812622666,63.2143883350626,40.2576103333991,91.9923809505057,74.9076923242715,1366.31859027617,104.052251894197,259.702435771957,32.3559147219603,139.919685919535,0,10,0,0,10
14,17,1,16,1,0,0,5,0,6,5.27425787070324,5.27425787070324,NaN,242.8,NaN,NaN,208.65,355.318584362641,13526.2612989514,32.731880975511,40.1008088744944,102.836525423708,71.2565133461825,633.80301214771,97.5935016284491,98.9157134415562,30.6521739057541,150.151568777977,0,8.23809523809524,0,0,10
9,16,1,13,1,0,0,5,0,8,8.5933337653836,8.5933337653836,NaN,266,NaN,NaN,261.85,319.967064062802,38065.0665902132,60.975872116627,40.3444946047099,111.59410112799,68.1139845591111,486.899942795942,105.487507265202,90.6092611694531,32.6373917707405,219.821674683956,0,5.33333333333333,0,0,10
12,11,1,13,1,0,0,4,0,5,-0.971227707961902,-0.971227707961902,NaN,245.25,NaN,NaN,217.7,408.56049067594,70920.8278642863,65.1824277341444,39.7903169014394,100.619274825813,71.9285095697021,527.073154276565,95.0430574402254,80.2935667562857,40.1187123352068,107.694522703588,0,6,0,0,10
15,15,1,17,1,0,0,5,0,4,5.52679723575328,5.52679723575328,NaN,247.7,NaN,NaN,218.65,359.133932936304,26200.4368439982,45.0710654515308,40.4070420579912,82.5219493412247,69.829818273059,799.057694585093,94.558179885818,80.2168338750013,35.2479608291677,247.376308878287,0,8,0,0,10
12,8,1,18,1,0,0,7,0,7,11.8006172975375,11.8006172975375,NaN,265.9,NaN,NaN,233.95,567.074573256625,119976.299435654,61.0811994297873,40.0239966106613,110.11582973903,71.445159980482,295.610090486562,97.8424419303169,91.3770797360303,32.6367204241865,274.599089863111,0,8,0,0,10
12,9,1,15,1,0,0,3,0,4,5.16226362037374,5.16226362037374,NaN,244.9,NaN,NaN,241.5,364.969664424011,82105.3058104145,78.5106988668576,39.5937917288771,102.811702471619,75.4401274484757,758.452015931606,100.887375980687,67.3913736013535,34.9009710996657,138.821185880633,0,9,0,0,10
15,12,1,15,1,0,0,7,0,7,-0.647928135147519,-0.647928135147519,NaN,281.5,NaN,NaN,237.3,248.150051387899,43764.852205687,84.3040354064384,40.0537947908013,93.8330969519431,64.8206878199821,473.753616265105,97.7529680294514,87.6650325331346,34.9503399384947,218.230588081411,0,6.28571428571428,0,0,10
13,11,1,16,1,0,0,5,0,5,-1.24896760280005,-1.24896760280005,NaN,258.35,NaN,NaN,234.55,449.829159665087,47230.4610331881,48.3129423654554,40.4198886395783,91.5751548526988,74.8215252556558,863.017580360391,97.35914698869,114.843885030788,35.3019019401409,132.201580817845,0,6,0,0,10
