b0_iriL_all,b0_mel0_all,center_stripe_rad_all,iriLmel_density_all,mean_mel_space_all,var_mel_space_all,mel_CV_all,mean_pca_ratio_iriL_all,med_pca_ratio_iriL_all,alignment_score_all,med_cluster_size_all,mean_cluster_size_all,cluster_size_75_all,annulus_In_MB
0,69,0,0,181.104733299258,5098.19225637998,39.4255992794675,NaN,NaN,0,0,0,0,35
0,68,0,0,208.134014536736,5797.97813594432,36.584340086477,NaN,NaN,0,0,0,0,35
0,71,0,0,191.419511036786,9353.07129279095,50.5232081506416,NaN,NaN,0,0,0,0,35
0,83,0,0,185.485379292969,5456.52746059715,39.8243311116239,NaN,NaN,0,0,0,0,35
0,74,0,0,197.900201963113,5187.23045628922,36.3933080997055,NaN,NaN,0,0,0,0,35
0,64,0,0,220.526938990236,5204.13648225027,32.7124212044001,NaN,NaN,0,0,0,0,35
0,68,0,0,199.014438473771,5223.7363360652,36.3166715709204,NaN,NaN,0,0,0,0,35
0,65,0,0,206.042211216526,8578.51866694389,44.9520961784797,NaN,NaN,0,0,0,0,35
0,70,0,0,188.991777244143,8520.37186356506,48.8412044918775,NaN,NaN,0,0,0,0,35
0,79,0,0,171.463175571253,4488.95477274998,39.0752488160448,NaN,NaN,0,0,0,0,35
0,75,0,0,189.673544040097,5424.10054324262,38.8290805249438,NaN,NaN,0,0,0,0,35
0,67,0,0,208.470106937454,5404.65355706415,35.2646957350612,NaN,NaN,0,0,0,0,35
0,87,0,0,178.365431662803,5508.3500866394,41.6102263205865,NaN,NaN,0,0,0,0,35
0,76,0,0,183.487949646304,4927.3906467583,38.2561225191381,NaN,NaN,0,0,0,0,35
0,59,0,0,232.111172541033,11015.3945932843,45.2172331267262,NaN,NaN,0,0,0,0,35
0,81,0,0,192.369445932187,4468.45641398162,34.749028634302,NaN,NaN,0,0,0,0,35
0,76,0,0,195.005091996274,8612.2801124563,47.5897169223865,NaN,NaN,0,0,0,0,35
0,80,0,0,180.916909928924,5849.05364611906,42.2730556114773,NaN,NaN,0,0,0,0,35
0,65,0,0,217.987170249143,5785.57991818138,34.8933377955269,NaN,NaN,0,0,0,0,35
0,79,0,0,198.357420235172,5230.21973534321,36.4595678043135,NaN,NaN,0,0,0,0,35
0,73,0,0,181.70687460482,3981.28142843191,34.7248261824524,NaN,NaN,0,0,0,0,35
0,75,0,0,189.367927310612,3436.97057777284,30.9586120145121,NaN,NaN,0,0,0,0,35
0,53,0,0,223.082514903266,13305.7990839128,51.707667664614,NaN,NaN,0,0,0,0,35
0,69,0,0,182.126477041374,6022.82158065905,42.6115087936948,NaN,NaN,0,0,0,0,35
0,68,0,0,203.986547403807,8205.73889031674,44.4076017329202,NaN,NaN,0,0,0,0,35
0,67,0,0,210.653947240864,9323.1976910688,45.836647445238,NaN,NaN,0,0,0,0,35
0,76,0,0,197.537677593143,5282.86570034382,36.7946640157794,NaN,NaN,0,0,0,0,35
0,71,0,0,207.554847616289,5641.9718099126,36.1894993273852,NaN,NaN,0,0,0,0,35
0,71,0,0,212.732139579716,5584.85656962566,35.1295756659285,NaN,NaN,0,0,0,0,35
0,72,0,0,202.934305569415,6721.99290710922,40.4011339951859,NaN,NaN,0,0,0,0,35
0,69,0,0,199.550778021801,4927.77638297551,35.1780750025868,NaN,NaN,0,0,0,0,35
0,77,0,0,192.315250690538,5283.45561272882,37.7959535193321,NaN,NaN,0,0,0,0,35
0,76,0,0,183.873757308841,3388.84454028745,31.6596473201572,NaN,NaN,0,0,0,0,35
0,76,0,0,189.543583648025,3788.89434666436,32.4748504753497,NaN,NaN,0,0,0,0,35
0,71,0,0,197.90299005978,6713.3543886222,41.4016291505737,NaN,NaN,0,0,0,0,35
0,71,0,0,200.480080520934,7250.40122630403,42.4726923780977,NaN,NaN,0,0,0,0,35
0,74,0,0,208.656483574664,7359.14841859188,41.1132583068546,NaN,NaN,0,0,0,0,35
0,73,0,0,207.205565324123,4580.4529468666,32.662753785389,NaN,NaN,0,0,0,0,35
0,75,0,0,195.238246909377,5939.14304361742,39.4727144882838,NaN,NaN,0,0,0,0,35
0,69,0,0,200.209195951754,6920.11710449563,41.5501599917927,NaN,NaN,0,0,0,0,35
0,79,0,0,194.060847786527,6609.26996205095,41.8927453048997,NaN,NaN,0,0,0,0,35
0,67,0,0,192.701517250169,4962.98873437998,36.55834362113,NaN,NaN,0,0,0,0,35
0,67,0,0,204.711083606327,4808.20754106097,33.8727335167754,NaN,NaN,0,0,0,0,35
0,79,0,0,182.000991556699,4707.06713912762,37.6965358626829,NaN,NaN,0,0,0,0,35
0,72,0,0,201.625214213299,4117.17682045201,31.8240111336508,NaN,NaN,0,0,0,0,35
0,72,0,0,184.90302717222,6567.36109105501,43.8279771406338,NaN,NaN,0,0,0,0,35
0,79,0,0,187.867655454483,7358.94198885192,45.6620782731053,NaN,NaN,0,0,0,0,35
0,67,0,0,198.834991729008,8514.55077812563,46.4074872846256,NaN,NaN,0,0,0,0,35
0,65,0,0,214.29755829465,6179.53007832725,36.6826331418279,NaN,NaN,0,0,0,0,35
0,69,0,0,206.901712278224,5473.63121879203,35.7580380440905,NaN,NaN,0,0,0,0,35
0,68,0,0,208.239075631824,6894.74618051171,39.8746527653532,NaN,NaN,0,0,0,0,35
0,81,0,0,167.08654703677,4719.39831266981,41.1151455812583,NaN,NaN,0,0,0,0,35
0,69,0,0,201.293543099814,6812.28935850483,41.0031006389114,NaN,NaN,0,0,0,0,35
0,76,0,0,179.322831686636,4262.95838223465,36.4099395766355,NaN,NaN,0,0,0,0,35
0,78,0,0,185.070657742177,5356.79899549149,39.5471423207082,NaN,NaN,0,0,0,0,35
0,71,0,0,195.757593918308,7572.6844620356,44.4535360039187,NaN,NaN,0,0,0,0,35
0,71,0,0,186.578464033612,6999.39890253327,44.840336083359,NaN,NaN,0,0,0,0,35
0,72,0,0,197.333004370102,3731.74568847988,30.9568164283486,NaN,NaN,0,0,0,0,35
0,67,0,0,200.831370651886,5732.04193626305,37.6984181455792,NaN,NaN,0,0,0,0,35
0,60,0,0,215.475903146857,8717.2783063778,43.3303049994761,NaN,NaN,0,0,0,0,35
0,70,0,0,198.379140680177,8124.76607754217,45.4369768917617,NaN,NaN,0,0,0,0,35
0,62,0,0,208.794551687904,5882.04568693911,36.7320388324384,NaN,NaN,0,0,0,0,35
0,71,0,0,184.016980047996,4334.64984307318,35.7782513837536,NaN,NaN,0,0,0,0,35
0,80,0,0,202.37922722093,5992.50798360238,38.2506110548901,NaN,NaN,0,0,0,0,35
0,69,0,0,212.274795560144,7883.66313704573,41.8278554187524,NaN,NaN,0,0,0,0,35
0,57,0,0,207.253390702526,8435.77044386478,44.316018208142,NaN,NaN,0,0,0,0,35
0,69,0,0,198.808546887489,6835.30543681229,41.5856900107635,NaN,NaN,0,0,0,0,35
0,61,0,0,212.390476721669,7191.20626574636,39.9269221689013,NaN,NaN,0,0,0,0,35
0,74,0,0,188.568554414777,3958.12863519379,33.3638131548256,NaN,NaN,0,0,0,0,35
0,60,0,0,215.733317236533,8868.03193334755,43.6512216534621,NaN,NaN,0,0,0,0,35
0,60,0,0,192.608683267227,10711.4607706397,53.733915559745,NaN,NaN,0,0,0,0,35
0,75,0,0,180.359677529795,7288.77254768854,47.335585007079,NaN,NaN,0,0,0,0,35
0,74,0,0,186.489686922793,5502.59718584475,39.7767266660692,NaN,NaN,0,0,0,0,35
0,71,0,0,201.907715862235,7214.88125870129,42.0689505473393,NaN,NaN,0,0,0,0,35
0,57,0,0,208.16580673111,7179.14597484689,40.7030541866757,NaN,NaN,0,0,0,0,35
0,73,0,0,183.212803904455,5961.94072732032,42.1442185822511,NaN,NaN,0,0,0,0,35
0,69,0,0,195.543237719907,4839.71735108489,35.5768258258279,NaN,NaN,0,0,0,0,35
