b0_xanS_all,b0_mel0_all,center_stripe_rad_all,xanSmel_density_all,melxanS_density_all,mean_mel_space_all,var_mel_space_all,mean_xanC_space_all,var_xanC_space_all,mean_xanS_space_all,var_xanS_space_all,mean_melxanC_space_all,var_melxanC_space_all,mean_melxanS_space_all,var_melxanS_space_all,mel_CV_all,mean_pca_ratio_mel_all,med_pca_ratio_mel_all,alignment_score_all,mel_med_cluster_size_all,mel_mean_cluster_size_all,mel_cluster_size_75_all,annulus_In_MB
0,0,0,0,0,0,0,47.4731717310766,92.165842289339,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,46.9674498394464,108.368234417958,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.2109647067447,95.3827995397252,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.6010302937435,92.5014444807837,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.6197847826938,86.734705320058,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.1426738833262,91.2695609769862,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.4205908974295,97.2389122419977,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.1815351509054,98.7320506110235,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.3595004229196,99.0887864572569,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.5043266019497,83.0538480697247,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.4318013814564,93.8546351217521,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.1472684291448,101.682702677456,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.1132020859242,112.128193254779,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.5691935847634,82.9207129144988,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.6222696600497,88.7646574607618,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.2017342614458,97.9384895234518,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.202803296701,100.041610124437,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.3372958179402,100.469224800549,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.0382090529922,99.4666146047425,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,46.9394113388017,103.568400448867,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.0358619806086,102.477162281469,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.2881650509861,94.0587469065044,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.1977343975124,101.749159067167,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,46.9073087038474,112.515130018737,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.8176727813071,82.4392954421064,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.5791939132164,82.924867061371,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.0681849769091,97.1019225244842,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.5092476087692,92.605563738176,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,46.77873563199,112.837865575165,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.2068965776805,106.834526924698,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.6059688193218,95.0276719630895,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.0059038431311,96.6857027769178,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.4685823469823,89.6462373536883,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.2224048448431,101.534313496586,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.5307337988855,86.6892781131227,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.634184198979,78.944931706199,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
0,0,0,0,0,0,0,47.2217598066683,105.461579002639,0,0,0,0,0,0,0,NaN,NaN,-1,0,0,0,35
